Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Years Since Renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
399950,5,2.75,1970,5400,1,0,7,1320,650,32,47.5868,-122.308,1280,2150,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
385000,3,1,1220,4800,1,0,6,1220,0,117,47.6101,-122.307,1200,4800,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
269950,3,1.5,1950,7560,1,2,7,1320,630,43,47.1976,-121.999,1950,8941,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
330000,2,1,1350,8220,1,0,7,1060,290,69,47.7224,-122.358,1540,8280,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
260000,3,2.5,1670,5797,2,0,7,1670,0,30,47.3505,-122.179,1670,6183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
470000,4,3,2380,5125,1.5,0,7,1680,700,93,47.5384,-122.376,1410,5375,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
589000,4,3,2440,9600,2,0,7,2440,0,57,47.7044,-122.2,2290,9600,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163500,2,1.5,1050,3419,2,0,7,1050,0,22,47.3848,-122.039,1050,3417,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
835000,4,2.75,3130,13412,2,0,9,2140,990,25,47.6993,-122.102,2260,9984,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1100000,5,3,4090,12850,1,2,10,2090,2000,32,47.6627,-122.188,2540,10270,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
269000,4,1.75,1490,10000,1,0,8,1100,390,49,47.3099,-122.379,2190,8910,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
560000,3,2.5,1900,8744,2,0,8,1900,0,31,47.62,-122.043,2030,8744,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
615000,4,1,1330,2400,1.5,0,6,1330,0,117,47.65,-122.34,1330,4400,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
585188,3,2.25,2230,10026,1,0,8,1430,800,43,47.6647,-122.153,2230,9340,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
305000,3,1.75,1650,9480,1,0,7,1220,430,41,47.726,-122.191,1540,8400,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
166950,3,1,1190,8820,1,0,6,1190,0,59,47.4616,-122.184,1230,7980,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
799000,3,2.5,2140,9897,1,0,8,2140,0,59,47.5505,-122.219,2680,10083,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
400000,3,2.5,2180,7508,1,0,7,1420,760,56,47.7606,-122.336,1900,7818,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
230000,3,1,1060,10228,1,0,7,1060,0,70,47.7481,-122.3,1570,10228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
256883,3,2.5,1690,5025,2,0,8,1690,0,15,47.2779,-122.347,2550,5001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
423000,4,2,1970,6480,1.5,0,7,1130,840,98,47.5511,-122.312,1500,6480,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
465000,3,2.5,2150,4084,2,0,8,2150,0,11,47.5488,-122.372,1750,2385,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
440000,3,2.5,1910,66211,2,0,7,1910,0,21,47.5385,-121.911,2330,67268,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
385000,3,1.75,1350,155073,1,0,7,1350,0,49,47.4058,-121.994,1560,50965,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
210000,3,1,860,11725,1,0,6,860,0,75,47.5093,-122.184,1300,9514,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
